Zip Code,DMA,Country,Population
52755,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"JOHNSON, IA",2074
52756,Davenport IA-Rock Island-Moline IL,"SCOTT, IA",2162
52760,Davenport IA-Rock Island-Moline IL,"MUSCATINE, IA",403
52761,Davenport IA-Rock Island-Moline IL,"MUSCATINE, IA",30401
52765,Davenport IA-Rock Island-Moline IL,"SCOTT, IA",394
52766,Davenport IA-Rock Island-Moline IL,"MUSCATINE, IA",865
52768,Davenport IA-Rock Island-Moline IL,"SCOTT, IA",1558
52769,Davenport IA-Rock Island-Moline IL,"MUSCATINE, IA",681
52772,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"CEDAR, IA",4979
52773,Davenport IA-Rock Island-Moline IL,"SCOTT, IA",2289
52776,Davenport IA-Rock Island-Moline IL,"MUSCATINE, IA",4807
52777,Davenport IA-Rock Island-Moline IL,"CLINTON, IA",1351
52778,Davenport IA-Rock Island-Moline IL,"MUSCATINE, IA",4479
52801,Davenport IA-Rock Island-Moline IL,"SCOTT, IA",1037
52802,Davenport IA-Rock Island-Moline IL,"SCOTT, IA",10574
52803,Davenport IA-Rock Island-Moline IL,"SCOTT, IA",22882
52804,Davenport IA-Rock Island-Moline IL,"SCOTT, IA",27373
52806,Davenport IA-Rock Island-Moline IL,"SCOTT, IA",28018
52807,Davenport IA-Rock Island-Moline IL,"SCOTT, IA",14824
53001,Milwaukee WI,"SHEBOYGAN, WI",1954
53002,Milwaukee WI,"WASHINGTON, WI",2384
53004,Milwaukee WI,"OZAUKEE, WI",3256
53005,Milwaukee WI,"WAUKESHA, WI",19898
53006,Milwaukee WI,"DODGE, WI",1723
53007,Milwaukee WI,"WAUKESHA, WI",1847
53010,Green Bay-Appleton WI,"FOND DU LAC, WI",7511
53011,Milwaukee WI,"SHEBOYGAN, WI",2341
53012,Milwaukee WI,"OZAUKEE, WI",18639
