Zip Code,DMA,Country,Population
54820,Duluth MN-Superior WI,"DOUGLAS, WI",761
54821,Duluth MN-Superior WI,"BAYFIELD, WI",1261
54822,Minneapolis-St. Paul MN,"BARRON, WI",4629
54824,Minneapolis-St. Paul MN,"POLK, WI",2357
54826,Minneapolis-St. Paul MN,"BARRON, WI",734
54827,Duluth MN-Superior WI,"BAYFIELD, WI",246
54828,Duluth MN-Superior WI,"SAWYER, WI",655
54829,Minneapolis-St. Paul MN,"BARRON, WI",5135
54830,Minneapolis-St. Paul MN,"BURNETT, WI",2841
54832,Duluth MN-Superior WI,"BAYFIELD, WI",372
54835,Duluth MN-Superior WI,"SAWYER, WI",940
54836,Duluth MN-Superior WI,"DOUGLAS, WI",978
54837,Minneapolis-St. Paul MN,"POLK, WI",3680
54838,Duluth MN-Superior WI,"DOUGLAS, WI",1192
54839,Duluth MN-Superior WI,"BAYFIELD, WI",236
54840,Minneapolis-St. Paul MN,"BURNETT, WI",4326
54843,Duluth MN-Superior WI,"SAWYER, WI",11638
54844,Duluth MN-Superior WI,"BAYFIELD, WI",264
54845,Minneapolis-St. Paul MN,"BURNETT, WI",133
54846,Duluth MN-Superior WI,"ASHLAND, WI",474
54847,Duluth MN-Superior WI,"BAYFIELD, WI",2332
54848,La Crosse-Eau Claire WI,"RUSK, WI",5756
